slug,scene,genre,emerged,aka
dancepunk,Eurotrash,Dancepunk,early 00s,"Dance-punk, Discopunk, New Rave, Punk Funk, Electropunk"
filthyelectrohouse,Eurotrash,Filthy Electrohouse,early 00s,Electrohouse
electroclash,Eurotrash,Electroclash,late 90s,"Synthpunk, Nu Synthpop"
hinrg,Eurodisco,Hi NRG,late 70s,"Hi-NRG, HINRG, Electro Boogie"
synthpop,Eurodisco,Synthpop,late 70s,"New Wave, Dancepop, Electropop, Glam Pop"
synthwave,Eurodisco,Synthwave,early 00s,"Outrun, Darksynth, Retrowave, Futuresynth, Cybersynth, Dreamwave, Popwave"
spacesynth,Eurodisco,Spacesynth,late 70s,"Space Disco, Space Rock, Cosmo Rock"
italodisco,Eurodisco,Italo Disco,early 80s,"Italo, Italo Pop"
eurobeat,Europop,Eurobeat,late 80s,"Super Eurobeat, Euromach, J-Euro, Dance Dance Revolution"
asianpop,Europop,Asian Pop,early 90s,"J-Pop, K-pop, Visual Kei, Shibuya-kei"
nuitalo,Europop,Nu Italo,late 90s,"Italo Dance, Italo Beat"
eurodance,Europop,Eurodance,early 90s,"Dancepop, Europop, Swedish Pop, Italo Dance, Handbag House"
handsup,Europop,Handsup,early 00s,"Hands Up, Dancecore, Vocal Hardstyle"
vocaltrance,Europop,Vocal Trance,late 90s,Vocal Trance
dutchhouse,Eurotrance,Dutch House,late 00s,Anthem House
anthemhouse,Eurotrance,Anthem House,early 90s,"Stadium House, Epic House, Arena Rock, Big Room, Main Room, Club House"
eurotrance,Eurotrance,Eurotrance,mid 90s,"Euro Disney Cheese, Uplifting Trance, Anthem Trance, Stadium Trance, Melodic Trance, Epic Trance, Angelic Trance, Dutch Trance, Trance Trance Doodly Pants"
germantrance,Hard Dance,German Trance,early 90s,"Hard Trance, Hard Acid Trance, Makina"
hardtrance,Hard Dance,Hard Trance,late 90s,Hard Trance
hardstyle,Hard Dance,Hardstyle,late 90s,Hardstyle
jumpstyle,Hard Dance,Jumpstyle,late 90s,"Jumpen, Jump, Euro Hard House"
ukhardhouse,Hard Dance,UK Hardhouse,mid 90s,"Stupid House, Party House, Party Rock, Donk, Hard Bounce, Hard Bass"
nrg,Hard Dance,NRG,mid 90s,"Nu NRG, Hard NRG, Dark NRG, Acid NRG, Jetfighter Techno"
techtrance,Trance,Tech Trance,late 90s,"Techtrance, Techno-trance"
progressivetrance,Trance,Progressive Trance,mid 90s,Progressive House
neotrance,Trance,Neo Trance,mid 00s,"Minimal Trance, Neotrance, Neo-Trance, Nu Trance"
trance,Trance,Trance,early 90s,Trance
balearictrance,Trance,Balearic Trance,early 90s,"Belearic House, Balearic Beat, Balearic Music, Ibiza Trance"
dreamtrance,Trance,Dream Trance,early 90s,"Dream House, Dream Dance"
progpsy,Psy Trance,Progpsy,early 00s,"Progressive Psy Trance, Psyprog, Psygressive, Dark Progressive, Zenonesque, Minimal Psy, Psytek, Psy Tech, Tribal Psy, Ethnic Psy, Psychedelic Techno, Offbeat Psy, Psystep, PsyDM"
fullon,Psy Trance,Full On,late 90s,"Fullon Psy, Full-On, Uplifting Psy, Anthem Psy, Morning Psy, Twilight Psy, Night Psy, Peak Hour Psy, Its-2am-I'm-coming-down-I-need-another-bump Psy, Israeli Psy"
darkpsy,Psy Trance,Darkpsy,early 00s,"Dark Psy, Dark Psytrance, Forest Psy, Swamp Psy, Terror Trance, Cyberdelic, Alien Psy, Hi-Tech, Hitek Psy, Psycore"
psychedelictrance,Psy Trance,Psychedelic Trance,late 90s,"Uptempo Psy, UK Psy, Melodic Psytrance, Dark Psytrance, Suomisaundi"
goatrance,Psy Trance,Goa Trance,early 90s,"Psychedelic Trance, Psychedelic Goacore, Nitzhonot, Nitzhogoa, Newskool Goa, NeoGoa"
psydub,Psy Trance,Psydub,early 90s,"Ambient Psy, Ambient Goa, Psy Chill, Psy Dub, Psybient, Psychedelic Chillout, Downtempo Psy, Psy Breaks, Deep Trance"
ebm,Industrial/Goth,EBM,early 80s,"Electronic Body Music, Body Music, Electro-Industrial, Techno-Industrial, Industrial Dance, Synth-Industrial"
futurepop,Industrial/Goth,Futurepop,late 90s,"Future Pop, Synthpop, Pop EBM"
newbeat,Industrial/Goth,New Beat,"late 80s, and then early 10s","Death Disco, Dark Disco, Nu Disco, Slo-beat, Chug, Slow Techno"
darkwave,Industrial/Goth,Darkwave,early 80s,"Goth, Electro-Goth, Coldwave, Doom Wave, Witch House, Neoclassical Darkwave, Vaporwave"
ethereal,Industrial/Goth,Ethereal,mid 80s,"Ethereal Wave, Ethereal Goth, Ethereal Darkwave"
industrialrock,Industrial/Goth,Industrial Rock,mid 80s,Industrial Metal
aggrotech,Industrial/Goth,Aggrotech,late 90s,"Hellektro, Dark Electro, Cyber-Industrial"
industrial,Industrial/Goth,Industrial,late 70s,Experimental Rock
collage,Industrial/Goth,Collage,mid 50s,"Sound Collage, Sampling, Tape Looping, Plunderphonics, Mashup"
noise,Industrial/Goth,Noise,early 60s,"Power Electronics, Power Noise, Noisecore, Wall Noise, Japanoise, Death Industrial"
breakcore,Intelligent Dance Music,Breakcore,late 90s,"Raggacore, Chipcore, J-Core"
drillnbass,Intelligent Dance Music,Drill n Bass,mid 90s,Jungle IDM
glitchhop,Intelligent Dance Music,Glitch Hop,early 2000s,Wonky
glitch,Intelligent Dance Music,Glitch,early 2000s,"Clicks & Cuts, Abstract, Experimental, IDM"
experimental,Pioneers,Experimental,who knows,Early electronic sounds
ambienttechno,Intelligent Dance Music,Ambient Techno,early 90s,"Intelligent Techno, IDM"
braindance,Intelligent Dance Music,Braindance,mid 90s,IDM
musiqueconcrete,Pioneers,Musique Concrete,early 40s,"Acousmatic music, Elektronische Musik"
minimalism,Pioneers,Minimalism,late 60s,Minimal music
krautrock,Pioneers,Krautrock,late 60s,"Kosmische Musik, Berlin School"
modernclassical,Pioneers,Modern Classical,maybe the 40s,"Contemporary Classical, Postmodern Classical"
soundtrack,Pioneers,Soundtrack,"early 50s, most likely","Theme music, background music, filler music, library music"
moog,Pioneers,Moog,mid 60s,Synth music
plus,Chiptune,Plus,late 80s,"Seapunk, Nintendocore, Skweee, Chipcore, Chip Rock, Chip Metal, Chipwave Chip Hop, Chipstep, Chip House, Chipbient, Chip Bass"
fakebit,Chiptune,Fakebit,late 80s,"9-Bit, Riptune, Chiptune-inspired"
amiga%2ftracker,Chiptune,Amiga/Tracker,late 80s,"Amiga, Tracker, Keygen, Cracktro, Demo music, MOD music, SID music, warez music"
chiptune,Chiptune,Chiptune,late 70s,"PSG, Programmable Sound Generator, 8-Bit, VGM, NES, C64, Atari, Colecovision, Intellivision, MSX, Vectrex, Gameboy, Sega Master System, PC Speaker, Turbografx 16"
fm,Chiptune,FM,mid 80s,"Frequency Modulation, 16-bit, Yamaha, Genesis, FM Towns, Adlib, Soundblaster, Casio"
drone,Ambient,Drone,early 80s,Background Noise
darkambient,Ambient,Dark Ambient,early 80s,Atmospheric Industrial
ambient,Ambient,Ambient,mid 70s,"Ambient, Laptop Ambient"
newage,Chill Out,New Age,mid 70s,"Meditation music, yoga pilates tai chi indigo crystal spiritual wellness faith healing sounds"
worldbeat,Chill Out,Worldbeat,early 80s,"Ethnic Beat, Ethnic Fusion, Tribal Chill, World Music"
chillout,Chill Out,Chill Out,late 70s,"Ambient House, Balearic"
indie,Chill Out,Indie,early 90s,"Indie Pop, Shoegaze, Dreampop, Chillwave"
dub,Downtempo,Dub,late 60s,"Reggae Dub, Ambient Dub"
triphop,Downtempo,Trip Hop,mid 90s,Illbient
downtempo,Downtempo,Downtempo,early 90s,Ninja Tune
acidjazz,Downtempo,Acid Jazz,late 80s,"Jazzdance, Electro Swing, House Jazz, Funk Fusion"
nujazz,Downtempo,Nu Jazz,early 90s,"Future Jazz, Latin Jazz, Ragga Jazz, Afro Jazz"
funk,Urban,Funk,early 70s,"Electrofunk, Electro Funk, Synth-Funk, Funktronica, Future Funk"
newjackswing,Urban,New Jack Swing,late 80s,"R&B, Urban, House Party Soundtrack"
soul,Urban,Soul,Probably the 1950s but electronic instrumentation did not show up until the 80s,"Nu Soul, Neo Soul, Contemporary Soul"
reggaeton,Urban,Reggaeton,mid 00s,Latin R&B
r&b,Urban,R&B,"Probably the 1930s, but early 80s for the electronic stuff.","Rhythm & Blues, Contemporary R&B"
2-stepgarage,UK Garage,2-Step Garage,late 90s,UK Garage
grime,UK Garage,Grime,early 00s,2-Step Rap
futuregarage,UK Garage,Future Garage,late 00s,"Post Garage, Chillstep, Future Bass, Atmospheric Dubstep, Intelligent Garage, Ambient Garage, UK Bass, Downtempo Dubstep, Downtempo Garage, Progressive Garage, Nu Garage"
dubstep,UK Garage,Dubstep,early 00s,"Post Garage, Intelligent Garage, UK Bass, Future Bass, Riddim"
brostep,UK Garage,Brostep,late 00s,"Dubstep, Deathstep, Horrorstep, Metalstep, Evilstep, Vomitstep"
speedgarage,UK Garage,Speed Garage,late 90s,"Bassline House, Bass House, House Garage"
garage,Garage/Deep House,Garage,late 70s,"New York Garage, Garage House, Post Disco"
usdeephouse,Garage/Deep House,US Deep House,late 80s,"Tribal House, Soulful House, Jazz House, Dad House"
eurodeephouse,Garage/Deep House,Euro Deep House,early 90s,"Tribal House, Balearic House, Glockenspiel House"
progressivehouse,Progressive,Progressive House,early 90s,"Prog House, Epic House, Leftfield, whatever Sasha & Digweed are doing"
twinkleprog,Progressive,Twinkle Prog,1999,McProg
mcprog,Progressive,McProg,early 00s,"Vocal Prog, Melodic Prog"
8thnoteprog,Progressive,8th Note Prog,late 00s,"McProg, dut dut dut dut dut dut dut dut"
progressive,Progressive,Progressive,mid 90s,Prog
minimalprog,Progressive,Minimal Prog,mid 00s,"Minimal Progressive House, Minimal Progressive, Min Prog, Min P, Min, Mi, M"
deeptech,Tech House,Deeptech,early 00s,"Deep Tech, Deep-tech, Urban House, Deep Tech House, Underground House"
fidgethouse,Tech House,Fidget House,"late 90s technically, mid 00s properly",Scratchy Electrohouse
techhouse,Tech House,Tech House,mid 90s,"Techno House, House Techno"
microhouse,Tech House,Microhouse,late 90s,"Minimal House, Glitch House"
minimaltech,Tech House,Minimal Tech,early 00s,"Plinky Plonk, Berliner School, Minimal Tech House, Minimal, mnml, m"
ukhouse,House,UK House,late 80s,Brit House
eurohouse,House,Eurohouse,early 90s,Future House
worldhouse,House,World House,late 80s,"Latin House, Tribal House, Salsa House, Samba House, Soca House, Basso Nova House, Ska House, Afrobeat, UK Funky"
electrohouse,House,Electrohouse,early 00s,"Electro House, Swedish House, Complextro"
frenchhouse,House,French House,late 90s,"Filter House, Sidechain House, Tekfunk"
discohouse,House,Disco House,early 90s,"Funky House, Disco"
italohouse,House,Italo House,late 80s,"Gospel House, Diva House, Italo Dance"
hiphouse,House,Hip House,late 80s,Techno Dance
hardhouse,House,Hard House,mid 90s,"Booty House, Ghetto House, Juke, Footwork"
chicagohouse,House,Chicago House,mid 80s,"Classic House, House, Jackin House"
acidhouse,Acid,Acid House,mid 80s,Acid
